,name,club,rank,category,points,id,link
113,דן זוילי,הפועל לוד,114,J18,944.6,2229,/p/2229/דן-זוילי
114,יוסי רוזנבלט,הפועל אשדוד,115,S60,941.7,998,/p/998/יוסי-רוזנבלט
115,איגור גולדברג,הפועל בת ים,116,S50,941.1,1359,/p/1359/איגור-גולדברג
116,נחום שמיס,הפועל חיפה,117,S60,939.1,987,/p/987/נחום-שמיס
117,יבגני ברבוי,הפועל טנ''ש באר שבע,118,S40,939.0,1408,/p/1408/יבגני-ברבוי
118,אדם בלנק,בית''ר רמלה,119,S,935.6,895,/p/895/אדם-בלנק
119,רן מנשה,טנ''ש 2007 נתניה,120,S40,932.6,1937,/p/1937/רן-מנשה
120,ניר רחליס,הפועל גליל תחתון,121,E21,929.2,2292,/p/2292/ניר-רחליס
121,יוסף אזולאי,הפועל בת ים,122,S60,923.4,2846,/p/2846/יוסף-אזולאי
122,ארז זכריה,מ. בני הרצליה,123,S,922.9,921,/p/921/ארז-זכריה
123,אלכסנדר לוין,הפועל חיפה,124,S,921.0,1264,/p/1264/אלכסנדר-לוין
124,רועי רוזנבלט,הפועל אשדוד,125,S,920.0,903,/p/903/רועי-רוזנבלט
125,אופק ביתן,בית''ר ראשון לציון,126,C15,919.7,4191,/p/4191/אופק-ביתן
126,דור בן-חורין,מכבי שהם,127,S,919.3,887,/p/887/דור-בן-חורין
127,תומר נעמה,עירוני גבעתיים,128,J17,917.3,2952,/p/2952/תומר-נעמה
128,אמיר רובינשטיין,הפועל לוד,129,S,914.4,3675,/p/3675/אמיר-רובינשטיין
129,ניר יעקובי,מ. בני הרצליה,130,S40,913.1,1373,/p/1373/ניר-יעקובי
130,יפים גורביץ,הפועל טנ''ש באר שבע,131,S60,912.4,989,/p/989/יפים-גורביץ
131,גלעד אקסלרוד,אופק קריית אונו,132,S40,907.2,3088,/p/3088/גלעד-אקסלרוד
132,מקסים גולדין,כרמל מרכזי טניס שולחן חיפה,133,J18,905.8,6601,/p/6601/מקסים-גולדין
133,אלכסנדר סליטרניק,הפועל טנ''ש באר שבע,134,S40,901.9,1511,/p/1511/אלכסנדר-סליטרניק
134,אלכס קורנברג,הפועל טנ''ש באר שבע,135,S50,899.0,974,/p/974/אלכס-קורנברג
135,יהודה דרור,מ. בני הרצליה,136,S40,896.3,1693,/p/1693/יהודה-דרור
136,אפי גילקרוב,הפועל חולון,137,S,893.4,2639,/p/2639/אפי-גילקרוב
137,מתן כהן,מ. בני הרצליה,138,S,891.8,830,/p/830/מתן-כהן
138,בנימין שניידר,מכבי תל אביב,139,S60,891.4,2847,/p/2847/בנימין-שניידר
139,דמיטרי אסקוטסקי,מ.ק.מתנ''ס קריית גת,140,S60,889.7,991,/p/991/דמיטרי-אסקוטסקי
140,אביב וייג,הפועל רמת ישי,141,S,882.5,6371,/p/6371/אביב-וייג
141,רוני רמסניק,הפועל אשקלון,142,S,881.4,915,/p/915/רוני-רמסניק
142,ארטיום קרביץ,בית''ר רמלה,143,S,879.9,5529,/p/5529/ארטיום-קרביץ
143,אנטולי לוינשטיין,הפועל רמת ישי,144,S40,878.2,943,/p/943/אנטולי-לוינשטיין
144,אלון לב,מכבי כוכב יאיר - צור יגאל,145,S40,875.0,949,/p/949/אלון-לב
145,גיא בלוך,מכבי שהם,146,S50,874.7,902,/p/902/גיא-בלוך
146,עמית בן-עמי,אופק קריית אונו,147,J16,874.4,2830,/p/2830/עמית-בן-עמי
147,זאב סהר,הפועל עירוני נוף הגליל,148,S50,873.2,2644,/p/2644/זאב-סהר
