,name,club,rank,category,points,id,link
211,עידו טל,מכבי גדרה,212,S,780.9,3035,/p/3035/עידו-טל
212,פבל סטסנקו,הפועל בת ים,213,S,779.5,2189,/p/2189/פבל-סטסנקו
213,אילן דרמון,מ. בני הרצליה,214,S60,779.4,322,/p/322/אילן-דרמון
214,אלכסנדר שפירו,אליצור קריית אתא,215,S60,777.8,2629,/p/2629/אלכסנדר-שפירו
215,גלעד לוין,בית''ר ראשון לציון,216,C15,776.9,2720,/p/2720/גלעד-לוין
216,עידן עופר,מכבי רחובות,217,C14,774.7,6174,/p/6174/עידן-עופר
217,יניב יוסף,מ.ק.מתנ''ס קריית גת,218,S40,774.6,1333,/p/1333/יניב-יוסף
218,טומי גרינפלד,בית''ר ראשון לציון,219,M13,774.2,4167,/p/4167/טומי-גרינפלד
219,מקסים קוקוטוב,אליצור קריית אתא,220,S,774.1,849,/p/849/מקסים-קוקוטוב
220,עידו אמיגה,הפועל ירושלים,221,C15,772.7,6350,/p/6350/עידו-אמיגה
221,עופר פוקס,מכבי שהם,222,S50,771.9,1772,/p/1772/עופר-פוקס
222,אלכסיי סקידנוב,הפועל אשדוד,223,S40,771.4,6930,/p/6930/אלכסיי-סקידנוב
223,אברהם שטרן,הפועל עירוני צפת,224,S50,770.1,1532,/p/1532/אברהם-שטרן
224,ערן גיט,מכבי תל אביב,225,S50,763.1,978,/p/978/ערן-גיט
225,ישעיה ברזילי,הפועל ירושלים,226,J18,763.1,4540,/p/4540/ישעיה-ברזילי
226,דמיטרי רוגובין,הפועל טנ''ש באר שבע,227,S,759.3,1398,/p/1398/דמיטרי-רוגובין
227,אלכסנדר גולדובג,ללא מועדון,228,S60,755.3,1452,/p/1452/אלכסנדר-גולדובג
228,ולדימיר ברוסילובסקי,הפועל אשדוד,229,S40,755.3,898,/p/898/ולדימיר-ברוסילובסקי
229,ניר סקיטל,מ. בני הרצליה,230,S40,753.9,2326,/p/2326/ניר-סקיטל
230,רוסלן ברקוטוב,מ.ק.מתנ''ס קריית גת,231,S50,753.8,1328,/p/1328/רוסלן-ברקוטוב
231,גיא צבי,הפועל האקדמיה לטניס שולחן מטה יהודה,232,S,752.3,188,/p/188/גיא-צבי
232,ליחי גרינשטיין,עירוני גבעתיים,233,S,748.9,512,/p/512/ליחי-גרינשטיין
233,דניאל שלום,טנ''ש נס ציונה,234,S40,748.1,906,/p/906/דניאל-שלום
234,סרגיי יגורוב,אליצור קריית אתא,235,S,746.5,2799,/p/2799/סרגיי-יגורוב
235,אלכסנדר זלנסקי,טנ''ש נס ציונה,236,S60,746.3,2908,/p/2908/אלכסנדר-זלנסקי
236,ולדימיר שנדרנקו,כרמל מרכזי טניס שולחן חיפה,237,S60,745.7,985,/p/985/ולדימיר-שנדרנקו
237,רונן טולדנו,מכבי שהם,238,S50,744.3,1876,/p/1876/רונן-טולדנו
238,ערן מעוז,"מ. טנ""ש ויקטור נתניה",239,S40,743.3,6935,/p/6935/ערן-מעוז
239,יפים גלייזר,מכבי גבירול באר שבע,240,S60,742.4,1544,/p/1544/יפים-גלייזר
240,עומרי שקד,מכבי רחובות,241,S40,740.0,7141,/p/7141/עומרי-שקד
241,יעקב ירוסלימסקי,בית''ר ראשון לציון,242,S50,739.5,3112,/p/3112/יעקב-ירוסלימסקי
242,זאב גליקמן,הפועל אשדוד,243,S60,739.1,362,/p/362/זאב-גליקמן
243,יעקב כהן גדול,הפועל אשדוד,244,S70,737.2,990,/p/990/יעקב-כהן-גדול
244,דוד לוי,מכבי דימונה,245,E20,736.2,1857,/p/1857/דוד-לוי
245,דניס לב,בית''ר באר שבע,246,E21,733.1,734,/p/734/דניס-לב
246,שמואל שור,הפועל אשדוד,247,S60,730.3,1374,/p/1374/שמואל-שור
247,שמעון בוזגן,הפועל עירוני נוף הגליל,248,S60,727.9,996,/p/996/שמעון-בוזגן
248,תומר הרכבי,מכבי כוכב יאיר - צור יגאל,249,S40,727.4,2198,/p/2198/תומר-הרכבי
249,ליאור סרף,כרמל מרכזי טניס שולחן חיפה,250,M12,726.9,3205,/p/3205/ליאור-סרף
250,גיא קליג,הפועל ירושלים,251,S,726.4,2672,/p/2672/גיא-קליג
251,נועם שר,בית''ר באר שבע,252,J18,724.7,622,/p/622/נועם-שר
252,דוד אלכסנדרוביץ,הפועל לוד,253,S,723.3,2997,/p/2997/דוד-אלכסנדרוביץ
253,יבגני מקלר,הפועל חיפה,254,S40,722.4,1564,/p/1564/יבגני-מקלר
254,עדי סידלר,מכבי שהם,255,S50,720.6,1778,/p/1778/עדי-סידלר
255,יעקב שטינברג,מכבי הישגים ראשון לציון,256,S50,720.4,975,/p/975/יעקב-שטינברג
256,אבי עדי אבני,הפועל חולון,257,S,719.4,4308,/p/4308/אבי-עדי-אבני
257,יפתח גסר,מכבי תל אביב,258,S60,719.3,1685,/p/1685/יפתח-גסר
258,ויאצ'סלב גלפמן,טנ''ש נס ציונה,259,S40,717.6,1798,/p/1798/ויאצ-סלב-גלפמן
259,יצחק ישראל,אליצור קריית אתא,260,S50,716.4,1230,/p/1230/יצחק-ישראל
260,לב יופה,כרמל מרכזי טניס שולחן חיפה,261,S70,716.0,3695,/p/3695/לב-יופה
261,מיכאל שפירא,טנש ירושלים,262,S,715.7,2175,/p/2175/מיכאל-שפירא
262,איגור נובק,אליצור קריית אתא,263,S40,715.1,2606,/p/2606/איגור-נובק
263,ערן סגל,"מ. טנ""ש ויקטור נתניה",264,S,714.5,1206,/p/1206/ערן-סגל
264,זיו גוטמן,הפועל טנ''ש באר שבע,265,S,713.8,824,/p/824/זיו-גוטמן
265,אייל פיירשטיין,הפועל ארנון רמת גן,266,S,713.1,764,/p/764/אייל-פיירשטיין
266,עירן ברנזון,הפועל עירוני צפת,267,S50,713.0,1540,/p/1540/עירן-ברנזון
267,רן מלינגר,הפועל גליל תחתון,268,J17,709.9,3055,/p/3055/רן-מלינגר
268,יפתח נשרי,אופק קריית אונו,269,S60,709.9,958,/p/958/יפתח-נשרי
269,אסף גופר,אופק קריית אונו,270,S,709.7,407,/p/407/אסף-גופר
270,דניאל דרזנר,מכבי גדרה,271,S50,709.2,952,/p/952/דניאל-דרזנר
271,עופר סיארה,מכבי זאב זכרון יעקב,272,S50,707.9,1711,/p/1711/עופר-סיארה
272,הילי ברבי,בית''ר ראשון לציון,273,J18,707.5,2369,/p/2369/הילי-ברבי
273,אבישי אבוחצירא,ללא מועדון,274,S,706.8,4526,/p/4526/אבישי-אבוחצירא
274,איתי שחק,הפועל לוד,275,S,705.8,720,/p/720/איתי-שחק
275,גולן סלמן,הפועל ארנון רמת גן,276,S,705.0,2575,/p/2575/גולן-סלמן
276,ולדיסלב שניידמן,הפועל ערד,277,S50,700.7,1543,/p/1543/ולדיסלב-שניידמן
277,אלמוג בעל צדקה,בית''ר ראשון לציון,278,J16,699.9,4654,/p/4654/אלמוג-בעל-צדקה
278,יבגני מנזנוב,מכבי רחובות,279,S,699.8,6346,/p/6346/יבגני-מנזנוב
279,משה באבא,הפועל ארנון רמת גן,280,S60,699.6,986,/p/986/משה-באבא
280,יהונתן איתן,עירוני גבעתיים,281,J17,697.2,2203,/p/2203/יהונתן-איתן
281,גילעד הוזליך,מכבי זאב זכרון יעקב,282,S,696.2,526,/p/526/גילעד-הוזליך
282,יובל שריג,מכבי שהם,283,C14,694.9,5599,/p/5599/יובל-שריג
283,אלכס רייצס,הפועל ירושלים,284,S40,692.2,289,/p/289/אלכס-רייצס
284,דניאל בהונקר,הפועל חולון,285,S50,692.0,948,/p/948/דניאל-בהונקר
285,שרון לבילב,כרמל מרכזי טניס שולחן חיפה,286,E20,690.7,2252,/p/2252/שרון-לבילב
286,ראובן אופציבסקי,בית''ר באר שבע,287,S,690.5,5473,/p/5473/ראובן-אופציבסקי
287,ניר בראון,מכבי שהם,288,S,689.4,1775,/p/1775/ניר-בראון
288,שליו אלפסי,הפועל טנ''ש באר שבע,289,S,687.3,2281,/p/2281/שליו-אלפסי
289,עמית כספי,ללא מועדון,290,S,687.2,5503,/p/5503/עמית-כספי
290,יעקב שקולניק,הפועל טנ''ש באר שבע,291,S60,687.1,1393,/p/1393/יעקב-שקולניק
291,אולג לנגרמן,אליצור קריית אתא,292,S40,686.4,1989,/p/1989/אולג-לנגרמן
292,זוריק מנשה,ללא מועדון,293,S60,684.2,1878,/p/1878/זוריק-מנשה
293,סיימון רוזין,הפועל פתח תקווה,294,S50,681.7,4366,/p/4366/סיימון-רוזין
294,יאן לנדה,הפועל אשדוד,295,S50,681.2,1376,/p/1376/יאן-לנדה
295,ויאצ'סלב גנין,בית''ר אשדוד,296,S40,681.1,4673,/p/4673/ויאצ-סלב-גנין
296,רונן גבע,הפועל יוקנעם,297,S40,681.0,4441,/p/4441/רונן-גבע
297,אולג אוישר,הפועל טנ''ש באר שבע,298,S50,679.8,1409,/p/1409/אולג-אוישר
298,יקיר טאיבי,טניס שולחן חיפה,299,S,675.9,6923,/p/6923/יקיר-טאיבי
299,מיכאל גינזבורג,מכבי גבירול באר שבע,300,S60,675.2,1701,/p/1701/מיכאל-גינזבורג
